"plant_sp","pol_sp","weight"
"Armeria velutina","Andrena hispania",1
"Armeria velutina","Anthrenus sp1 M_PL_016",1
"Armeria velutina","Coleoptera sp5 M_PL_016",1
"Armeria velutina","Colletes acutus",1
"Armeria velutina","Crematogaster auberti",1
"Armeria velutina","Dasypoda cingulata",1
"Armeria velutina","Diptera sp1 M_PL_016",1
"Armeria velutina","Eristalis tenax",1
"Armeria velutina","Eristalodes taeniops",1
"Armeria velutina","Hymenoplia sp1 M_PL_016",1
"Armeria velutina","Lasioglossum immunitum",1
"Armeria velutina","Lasioglossum littorale",1
"Armeria velutina","Lasioglossum prasinum",1
"Armeria velutina","Lasius niger",1
"Armeria velutina","Mordellistena sp1 M_PL_016",1
"Armeria velutina","Nustera distigma",1
"Armeria velutina","Palleira femorata",1
"Armeria velutina","Stelis signata",1
"Armeria velutina","Tapinoma sp1 M_PL_016",1
"Armeria velutina","Tychius sp1 M_PL_016",1
"Asparagus aphyllus","Amegilla fasciata",1
"Asparagus aphyllus","Cataglyphis viatica",1
"Asparagus aphyllus","Ceratina cyanea",1
"Asparagus aphyllus","Colletes caspicus",1
"Asparagus aphyllus","Diptera sp1 M_PL_016",1
"Asparagus aphyllus","Diptera sp2 M_PL_016",1
"Asparagus aphyllus","Halictus smaragdulus",1
"Asparagus aphyllus","Hymenoptera sp6 M_PL_016",1
"Asparagus aphyllus","Lasioglossum littorale",1
"Asparagus aphyllus","Lasioglossum prasinum",1
"Asparagus aphyllus","Lasioglossum punctatissimum",1
"Asparagus aphyllus","Lasioglossum sp1 M_PL_016",1
"Asparagus aphyllus","Lasius niger",1
"Asparagus aphyllus","Phthiria sp1 M_PL_016",1
"Asparagus aphyllus","Syntarucus pirithous",1
"Asparagus aphyllus","Syritta pipiens",1
"Calluna vulgaris","Apis mellifera",1
"Calluna vulgaris","Aricia cramera ",1
"Calluna vulgaris","Ceratina cucurbitina",1
"Calluna vulgaris","Cerceris arenaria",1
"Calluna vulgaris","Colletes caspicus",1
"Calluna vulgaris","Colletes succintus",1
"Calluna vulgaris","Diptera sp1 M_PL_016",1
"Calluna vulgaris","Diptera sp2 M_PL_016",1
"Calluna vulgaris","Epeolus fallax",1
"Calluna vulgaris","Episyrphus balteatus",1
"Calluna vulgaris","Eristalis pratorum",1
"Calluna vulgaris","Eristalis tenax",1
"Calluna vulgaris","Eristalodes taeniops",1
"Calluna vulgaris","Hymenoptera sp6 M_PL_016",1
"Calluna vulgaris","Lasioglossum littorale",1
"Calluna vulgaris","Lasioglossum prasinum",1
"Calluna vulgaris","Lasioglossum punctatissimum",1
"Calluna vulgaris","Lathyrophthalmus quinquelineatus",1
"Calluna vulgaris","Mellinus arvensis",1
"Calluna vulgaris","Phthiria sp1 M_PL_016",1
"Calluna vulgaris","Sphaerophoria scripta",1
"Calluna vulgaris","Syntarucus pirithous",1
"Calluna vulgaris","Xylocopa cantabrita",1
"Chamaerops humilis","Camponotus lateralis",1
"Chamaerops humilis","Coleoptera sp11 M_PL_016",1
"Chamaerops humilis","Coleoptera sp8 M_PL_016",1
"Chamaerops humilis","Lasius niger",1
"Chamaerops humilis","Tapinoma erraticum",1
"Cistus libanotis","Andrena nigroaenea",1
"Cistus libanotis","Anthaxia parallela",1
"Cistus libanotis","Anthrenus sp1 M_PL_016",1
"Cistus libanotis","Apis mellifera",1
"Cistus libanotis","Bombylius ater",1
"Cistus libanotis","Cardiophorus bipunctatus",1
"Cistus libanotis","Chasmatopterus sp1 M_PL_016",1
"Cistus libanotis","Coleoptera sp4 M_PL_016",1
"Cistus libanotis","Coleoptera sp9 M_PL_016",1
"Cistus libanotis","Conophorus fuminervis",1
"Cistus libanotis","Dasypoda iberica",1
"Cistus libanotis","Deilus sp1 M_PL_016",1
"Cistus libanotis","Diptera sp1 M_PL_016",1
"Cistus libanotis","Gonepteryx cleopatra",1
"Cistus libanotis","Heliotaurus ruficollis",1
"Cistus libanotis","Lasioglossum immunitum",1
"Cistus libanotis","Lasioglossum littorale",1
"Cistus libanotis","Lasioglossum punctatissimum",1
"Cistus libanotis","Lasius niger",1
"Cistus libanotis","Lindenius luteiventris ",1
"Cistus libanotis","Lobonyx aeneus",1
"Cistus libanotis","Lomatia infernalis",1
"Cistus libanotis","Malachius sp1 M_PL_016",1
"Cistus libanotis","Mordellistena sp1 M_PL_016",1
"Cistus libanotis","Nustera distigma",1
"Cistus libanotis","Phthiria sp1 M_PL_016",1
"Cistus libanotis","Tiphia morio",1
"Cistus libanotis","Xylocopa cantabrita",1
"Cistus salvifolius","Andrena nigroaenea",1
"Cistus salvifolius","Andrena sp1 M_PL_016",1
"Cistus salvifolius","Anthrenus sp1 M_PL_016",1
"Cistus salvifolius","Apis mellifera",1
"Cistus salvifolius","Camponotus lateralis",1
"Cistus salvifolius","Ceratina cucurbitina",1
"Cistus salvifolius","Coleoptera sp12 M_PL_016",1
"Cistus salvifolius","Coleoptera sp4 M_PL_016",1
"Cistus salvifolius","Coleoptera sp8 M_PL_016",1
"Cistus salvifolius","Coleoptera sp9 M_PL_016",1
"Cistus salvifolius","Colletes acutus",1
"Cistus salvifolius","Conophorus fuminervis",1
"Cistus salvifolius","Deilus sp1 M_PL_016",1
"Cistus salvifolius","Diodontus insidiosus",1
"Cistus salvifolius","Diptera sp1 M_PL_016",1
"Cistus salvifolius","Eristalis pratorum",1
"Cistus salvifolius","Halictus quadricinctus",1
"Cistus salvifolius","Lasioglossum immunitum",1
"Cistus salvifolius","Lobonyx aeneus",1
"Cistus salvifolius","Malachius sp1 M_PL_016",1
"Cistus salvifolius","Malthodes sp1 M_PL_016",1
"Cistus salvifolius","Mordellistena sp1 M_PL_016",1
"Cistus salvifolius","Panurgus sp1 M_PL_016",1
"Cistus salvifolius","Sphaerophoria scripta",1
"Cistus salvifolius","Sphecodes pellucidus",1
"Cistus salvifolius","Tropinota squalida",1
"Cytisus grandiflorus","Apis mellifera",1
"Daphne gnidium","Acrobasis porphyrella",1
"Daphne gnidium","Agrotis puta",1
"Daphne gnidium","Amegilla fasciata",1
"Daphne gnidium","Ammophila heydeni",1
"Daphne gnidium","Anthidiellum strigatum",1
"Daphne gnidium","Aricia cramera ",1
"Daphne gnidium","Autographa gamma",1
"Daphne gnidium","Bembix flavescens",1
"Daphne gnidium","Bembix olivacea",1
"Daphne gnidium","Ceratina cucurbitina",1
"Daphne gnidium","Ceratina cyanea",1
"Daphne gnidium","Ceratina mocsaryi",1
"Daphne gnidium","Cerocala scapulosa",1
"Daphne gnidium","Colias croceus",1
"Daphne gnidium","Colletes caspicus",1
"Daphne gnidium","Colletes succintus",1
"Daphne gnidium","Dasypoda cingulata",1
"Daphne gnidium","Diptera sp1 M_PL_016",1
"Daphne gnidium","Diptera sp2 M_PL_016",1
"Daphne gnidium","Diptera sp3 M_PL_016",1
"Daphne gnidium","Discestra sodae",1
"Daphne gnidium","Edema complana",1
"Daphne gnidium","Ells cillosa",1
"Daphne gnidium","Episyrphus aurcollis",1
"Daphne gnidium","Episyrphus balteatus",1
"Daphne gnidium","Eristalis arbustorum",1
"Daphne gnidium","Eristalis pratorum",1
"Daphne gnidium","Eristalis tenax",1
"Daphne gnidium","Eristalodes taeniops",1
"Daphne gnidium","Eumenes dubius",1
"Daphne gnidium","Evergestis politalis",1
"Daphne gnidium","Gegenes sp1 M_PL_016",1
"Daphne gnidium","Gorytes sp1 M_PL_016",1
"Daphne gnidium","Halictus fulvipes",1
"Daphne gnidium","Halictus gemmeus",1
"Daphne gnidium","Halictus quadricinctus",1
"Daphne gnidium","Halictus scabiosae",1
"Daphne gnidium","Heliothis armigera",1
"Daphne gnidium","Heliothis nubigera",1
"Daphne gnidium","Heliothis peltigera",1
"Daphne gnidium","Heriades crenudatus",1
"Daphne gnidium","Hoplodrina ambigua",1
"Daphne gnidium","Hymenoptera sp6 M_PL_016",1
"Daphne gnidium","Lampides baeticus",1
"Daphne gnidium","Lasioglossum aegyptiellun",1
"Daphne gnidium","Lasioglossum albocinctum",1
"Daphne gnidium","Lasioglossum callizonium",1
"Daphne gnidium","Lasioglossum immunitum",1
"Daphne gnidium","Lasioglossum littorale",1
"Daphne gnidium","Lasioglossum prasinum",1
"Daphne gnidium","Lasioglossum punctatissimum",1
"Daphne gnidium","Lasioglossum sp1 M_PL_016",1
"Daphne gnidium","Lathyrophthalmus aeneus",1
"Daphne gnidium","Lathyrophthalmus quinquelineatus",1
"Daphne gnidium","Lepidoptera sp14 M_PL_016",1
"Daphne gnidium","Macroglossum stellatarum",1
"Daphne gnidium","Mecyna sp1 M_PL_016",1
"Daphne gnidium","Megachile pilidens",1
"Daphne gnidium","Meria sp1 M_PL_016",1
"Daphne gnidium","Meria tripunctata",1
"Daphne gnidium","Metachrostis dardouinii",1
"Daphne gnidium","Metachrostis velox",1
"Daphne gnidium","Metasyrphus corollae",1
"Daphne gnidium","Mythimma vittellina",1
"Daphne gnidium","Odynerus sp1 M_PL_016",1
"Daphne gnidium","Osmia sp1 M_PL_016",1
"Daphne gnidium","Palpita unionalis",1
"Daphne gnidium","Pechipogo plumigeralis",1
"Daphne gnidium","Pempeliella plufnbella",1
"Daphne gnidium","Petrorossia sp1 M_PL_016",1
"Daphne gnidium","Phthiria sp1 M_PL_016",1
"Daphne gnidium","Pieris brassicae",1
"Daphne gnidium","Pieris rapae ",1
"Daphne gnidium","Polyommatus icarus ",1
"Daphne gnidium","Pontia daplidice ",1
"Daphne gnidium","Pryonix kirbii",1
"Daphne gnidium","Psorosa brehiella",1
"Daphne gnidium","Psorosa genistella",1
"Daphne gnidium","Pyronia ceciia",1
"Daphne gnidium","Rhodometra sacraria",1
"Daphne gnidium","Sphaerophoria scripta",1
"Daphne gnidium","Spodoptera exigua",1
"Daphne gnidium","Stelis signata",1
"Daphne gnidium","Udaea martialis",1
"Daphne gnidium","Volucella elegans",1
"Daphne gnidium","Xylocopa cantabrita",1
"Erica ciliaris","Amegilla fasciata",1
"Erica ciliaris","Amegilla quadrifasciata",1
"Erica ciliaris","Ceratina cyanea",1
"Erica ciliaris","Ceratina mocsaryi",1
"Erica ciliaris","Eristalis tenax",1
"Erica ciliaris","Gegenes sp1 M_PL_016",1
"Erica ciliaris","Lasioglossum immunitum",1
"Erica ciliaris","Lasioglossum punctatissimum",1
"Erica ciliaris","Megachile maritima",1
"Erica ciliaris","Megachile pilidens",1
"Erica ciliaris","Phthiria sp1 M_PL_016",1
"Erica ciliaris","Syntarucus pirithous",1
"Erica ciliaris","Xylocopa cantabrita",1
"Halimium commutatum","Andrena squalida",1
"Halimium commutatum","Anthaxia dimidiata",1
"Halimium commutatum","Apis mellifera",1
"Halimium commutatum","Attagenus sp1 M_PL_016",1
"Halimium commutatum","Diptera sp1 M_PL_016",1
"Halimium commutatum","Eristalis tenax",1
"Halimium commutatum","Lasioglossum immunitum",1
"Halimium commutatum","Lasioglossum prasinum",1
"Halimium commutatum","Lathyrophthalmus aeneus",1
"Halimium commutatum","Lobonyx aeneus",1
